contrast;language;condition;file1;file2;distance
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_f_005;29.486999266244407
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_r_006;29.172016558907924
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_f_005;17.88716509550581
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_r_006;18.647592784327152
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_f_005;22.35900342786994
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_r_006;19.330125522387615
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_f_005;24.40312132738626
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_r_006;23.57345025234632
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_f_005;27.879929203316774
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_r_006;26.593015718012218
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_f_005;23.55346874187154
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_r_006;24.083431451252174
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_f_005;28.746140632355218
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_r_006;28.763754355433107
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_f_005;18.622331367179736
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_r_006;18.77923212290548
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_f_005;23.38645340698057
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_r_006;20.67228822502254
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_f_005;25.211633544955056
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_r_006;24.076211839148485
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_f_005;27.98932176008799
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_r_006;26.40319930996862
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_f_005;22.92038499893028
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_r_006;23.71790621850685
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_f_005;20.974799215525945
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_r_006;20.209311780701864
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_f_005;19.043501404190547
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_r_006;18.99552378659834
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_f_005;37.09844505663483
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_r_006;36.89938411400936
